Data_ID,Non-official languages spoken most often at home,lang_count,ONS_ID
ID1071,            Min Dong,0,3058
ID1072,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",0,3058
ID1073,            Wu (Shanghainese),0,3058
ID1074,            Yue (Cantonese),55,3058
ID1075,"            Chinese, n.o.s.",0,3058
ID1078,            Burmese,0,3058
ID1081,              S'gaw Karen,0,3058
ID1083,            Tibetan,0,3058
ID1087,          Lao,0,3058
ID1088,          Thai,0,3058
ID1091,          Azerbaijani,0,3058
ID1092,          Kazakh,0,3058
ID1093,          Turkish,0,3058
ID1094,          Uyghur,0,3058
ID1095,          Uzbek,0,3058
ID1098,          Estonian,0,3058
ID1099,          Finnish,0,3058
ID1100,          Hungarian,0,3058
ID877,            Kabyle,0,3063
ID878,            Tamazight,0,3063
ID881,            Hausa,0,3063
ID882,            Mina,0,3063
ID883,          Coptic,0,3063
ID885,            Bilen,0,3063
ID886,            Oromo,0,3063
ID887,            Somali,0,3063
ID890,            Amharic,0,3063
ID891,            Arabic,75,3063
ID893,              Assyrian Neo-Aramaic,0,3063
ID894,              Chaldean Neo-Aramaic,0,3063
ID895,"              Aramaic, n.o.s.",0,3063
ID896,            Harari,0,3063
ID897,            Hebrew,0,3063
ID898,            Maltese,0,3063
ID899,            Tigrigna,0,3063
ID902,          Khmer (Cambodian),0,3063
ID903,          Vietnamese,0,3063
ID906,          Bikol,0,3063
ID907,"          Bisaya, n.o.s.",0,3063
ID908,          Cebuano,0,3063
ID909,          Fijian,0,3063
ID910,          Hiligaynon,0,3063
ID911,          Ilocano,25,3063
ID912,          Indonesian,0,3063
ID913,          Kankanaey,0,3063
ID914,          Kinaray-a,0,3063
ID916,            Merina,0,3063
ID917,"            Malagasy, n.o.s.",0,3063
ID918,          Malay,0,3063
ID919,"          Pampangan (Kapampangan, Pampango)",0,3063
ID920,          Pangasinan,0,3063
ID921,"          Tagalog (Pilipino, Filipino)",40,3063
ID922,          Waray-Waray,0,3063
ID925,          Haitian Creole,0,3063
ID926,          Jamaican English Creole,0,3063
ID927,          Krio,0,3063
ID928,          Morisyen,0,3063
ID929,          Sango,0,3063
ID930,"          Creole, n.o.s.",0,3063
ID933,          Kannada,0,3063
ID934,          Malayalam,15,3063
ID935,          Tamil,20,3063
ID936,          Telugu,0,3063
ID937,          Tulu,0,3063
ID939,        Georgian,0,3063
ID942,          Albanian,0,3063
ID943,          Armenian,0,3063
ID946,              Latvian,0,3063
ID947,              Lithuanian,0,3063
ID949,              Belarusian,0,3063
ID950,              Bulgarian,0,3063
ID951,              Czech,0,3063
ID952,              Macedonian,0,3063
ID953,              Polish,25,3063
ID954,              Russian,20,3063
ID955,              Rusyn,0,3063
ID956,              Serbo-Croatian,0,3063
ID957,                Bosnian,0,3063
ID958,                Croatian,0,3063
