name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need,ONS_ID
playfair_park_guildwood_estates_3090,0.06143344709897611,0.06950122649223221,0.08032786885245902,0.15028901734104047,113200,49600,58.9,0.2011605415860735,0.18568665377176016,0.04061895551257253,0.05609284332688588,0.11591355599214144,3090
portobello_south_3091,0.05440097799511002,0.04549255728382673,0.085976875185295,0.16686674669867949,117600,54400,73.1,0.16474133601205423,0.15168257157207435,0.04962406015037594,0.0150375939849624,0.06055979643765903,3091
qualicum_redwood_3092,0.08298755186721991,0.10068649885583524,0.13247863247863248,0.21031746031746032,107300,46000,63.8,0.15273775216138327,0.14121037463976946,0.04285714285714286,0.07142857142857142,0.11370262390670552,3092
queensway_terrace_north_3093,0.07650273224043716,0.06182380216383307,0.07202216066481995,0.19170984455958548,89800,48400,65.5,0.19413919413919417,0.17582417582417584,0.0293040293040293,0.06227106227106227,0.09293680297397768,3093
queenswood_chatelaine_3094,0.07743362831858407,0.04444444444444444,0.09817351598173515,0.1590909090909091,93400,44400,59.9,0.1880108991825613,0.17983651226158037,0.03542234332425068,0.04087193460490463,0.06593406593406594,3094
queenswood_heights_3095,0.06315789473684211,0.04690618762475049,0.08225966303270565,0.15165876777251186,98500,46400,58.6,0.13317191283292978,0.12106537530266344,0.02418379685610641,0.03385731559854897,0.07107843137254902,3095
rideaucrest_davidson_heights_3097,0.05534351145038168,0.0482348829080741,0.09521028037383178,0.1453416149068323,124600,48800,71.6,0.15228966986155484,0.1448349307774228,0.05100956429330499,0.02869287991498405,0.06974248927038626,3097
riverside_park_mooneys_bay_3098,0.07959183673469387,0.13861386138613865,0.13742071881606766,0.15546218487394958,86100,38000,60.7,0.2916666666666667,0.25245098039215685,0.08557457212713937,0.06845965770171149,0.19948849104859337,3098
riverside_park_south_revelstoke_3099,0.01818181818181818,0.03242320819112627,0.07241379310344828,0.10674157303370786,143200,55200,58.4,0.09913793103448276,0.08620689655172414,0.01293103448275862,0.06465517241379311,0.05240174672489083,3099
riverside_south_leitrim_3100,0.02828854314002828,0.04513251115192863,0.08446251129177959,0.13075506445672191,134000,60000,74.9,0.15057915057915058,0.13745173745173744,0.03009259259259259,0.0169753086419753,0.0548159749412686,3100
riverview_3101,0.06090225563909774,0.17838899803536346,0.11853448275862068,0.17355371900826447,78400,38000,62.3,0.2945091514143095,0.24292845257903495,0.10517666392769104,0.06820049301561217,0.16842105263157894,3101
rockcliffe_park_3102,0,0.0486322188449848,0.05625,0.09183673469387756,297000,86000,57.1,0.18018018018018017,0.13513513513513514,0,0.04504504504504504,0,3102
rothwell_heights_beacon_hill_north_3103,0.05226130653266332,0.04798099762470308,0.11467444120505343,0.17857142857142858,119400,49200,58.4,0.12406015037593984,0.11278195488721804,0.02875,0.065,0.06717363751584284,3103
sandy_hill_3104,0.05036496350364963,0.2289876727680239,0.17370892018779344,0.18875502008032127,72000,32800,69.2,0.4013793103448276,0.32413793103448274,0.06549628629304524,0.09453072248480757,0.1576980568011958,3104
