ONS_name,ONS_ID,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,pop
VAR_ID,VAR200,VAR6,VAR7,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR201
merivale_gardens_grenfell_glen_pineglen_country_place_3072,3072,135,0.160714286,200,2.6,1085,0.951754386,0.052631579,0.048672566,55,4.7,1120,1588,60,0,0,1900,1850,2.8,0.102150538,95,0.102150538,1.7,154000,170000,114000,general
metcalfe_3073,3073,235,0.126344086,315,2.7,1890,0.88317757,0.114485981,0.050847458,105,2.2,1620,1670,240,14.6,28.9,1210,1180,2.9,0.096685083,175,0.096685083,1.8,126800,140000,96000,general
munster_ashton_3075,3075,165,0.142857143,230,2.7,1355,0.931271478,0.068728522,0.054347826,75,5,1570,1708,100,0,0,1660,1640,2.9,0.076612903,95,0.076612903,1.7,129600,147000,73000,general
richmond_3074,3074,395,0.146025878,560,2.7,2800,0.88748019,0.110935024,0.057377049,175,3.3,1600,1706,350,14.3,24.6,1230,1264,3,0.097465887,250,0.097465887,1.8,142600,147000,87000,general
navan_sarsfield_3076,3076,110,0.117647059,195,2.7,915,0.839449541,0.160550459,0.085308057,90,5.1,1240,1644,170,14.7,26.5,980,1080,3,0.071428571,65,0.071428571,2,126200,139000,58000,general
new_edinburgh_3077,3077,315,0.276315789,1040,2,1420,0.533834586,0.464285714,0.089494163,230,2.5,1540,2008,1240,2,16.2,1500,1676,2.6,0.142857143,220,0.142857143,1.6,159800,168000,99000,general
north_gower_kars_3078,3078,210,0.12962963,265,2.8,1610,0.899441341,0.100558659,0.054913295,95,3.2,1460,1510,175,14.3,26.5,1080,1100,3,0.091503268,140,0.091503268,1.9,132000,145000,94000,general
old_barrhaven_east_3079,3079,2030,0.230028329,1330,2.9,6385,0.784398034,0.215601966,0.08089608,650,5.8,1600,1572,1760,10.5,16.5,1860,1746,3.1,0.183763838,1245,0.183763838,1.8,119700,129000,85600,general
old_barrhaven_west_3080,3080,1465,0.186862245,1215,2.9,6970,0.889597958,0.110402042,0.051646223,400,3.2,1580,1588,870,4.6,20.7,1860,1812,3,0.136192626,905,0.136192626,1.9,123400,136000,83000,general
old_hunt_club_3081,3081,1560,0.287822878,1545,2.6,3945,0.61640625,0.38359375,0.118536197,745,5.8,1360,1502,2450,27.3,21.8,1240,1318,3,0.197611292,910,0.197611292,1.9,113200,117000,78600,general
